Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Fitur_Terakhir
train,ikan14,09,mata,0.0,0.0,-0.162823,-0.032334,3.079355,-0.067004,0.0,-0.156375,-0.081809,0.0,-0.185976,-0.016329,-0.130191,-0.257447,0.0,0.0,-0.070674,-0.139984,-0.010002,0.0,-0.033638,-0.117202,-0.143029,-0.157994,-0.013084,-0.154595,0.0,-0.135799,-0.006028,0.386481,-0.11945,-0.015367,-0.009915,-0.080969,-0.040416,-0.004246,0.0,-0.215072,-0.100497,0.277275,-0.286519,0.0,0.0,-0.061769,-0.013092,-0.300432,-0.113143,-0.144458,-0.003282,-0.067511,0.0
train,ikan14,09,mata,0.0,0.0,-0.165455,-0.032641,3.106273,-0.0693,0.0,-0.159381,-0.077958,0.0,-0.187253,-0.017866,-0.133357,-0.257388,0.0,0.0,-0.071069,-0.14057,-0.010694,0.0,-0.034682,-0.123929,-0.142623,-0.152677,-0.011747,-0.15262,0.0,-0.136549,-0.007066,0.379584,-0.120097,-0.015172,-0.009599,-0.078898,-0.039979,-0.005222,0.0,-0.211446,-0.106464,0.274891,-0.285715,0.0,0.0,-0.064705,-0.012615,-0.300558,-0.108604,-0.146647,-0.003509,-0.063052,0.0
train,ikan14,09,mata,0.0,0.0,-0.165327,-0.031832,3.106582,-0.069347,0.0,-0.159813,-0.072193,0.0,-0.186439,-0.018809,-0.134764,-0.266936,0.0,0.0,-0.071544,-0.142515,-0.011719,0.0,-0.037922,-0.129211,-0.149122,-0.154745,-0.010149,-0.153242,0.0,-0.142767,-0.007144,0.374375,-0.122069,-0.014993,-0.006186,-0.079846,-0.036642,-0.004615,0.0,-0.212356,-0.104888,0.278933,-0.286201,0.0,0.0,-0.060692,-0.011973,-0.301691,-0.105027,-0.145766,-0.008511,-0.065174,0.0
train,ikan14,09,mata,0.0,0.0,-0.165232,-0.032691,3.106475,-0.069558,0.0,-0.159875,-0.078314,0.0,-0.187375,-0.018101,-0.133584,-0.257246,0.0,0.0,-0.071009,-0.140545,-0.010978,0.0,-0.034886,-0.124297,-0.142692,-0.151779,-0.011926,-0.152597,0.0,-0.137371,-0.007214,0.378653,-0.120382,-0.015442,-0.009796,-0.078734,-0.040181,-0.005359,0.0,-0.21161,-0.106234,0.27441,-0.285791,0.0,0.0,-0.065228,-0.012675,-0.300417,-0.108334,-0.146882,-0.003555,-0.061782,0.0
train,ikan14,09,mata,0.0,0.0,-0.164582,-0.039908,3.103343,-0.076431,0.0,-0.162514,-0.09697,0.0,-0.182942,-0.022676,-0.139003,-0.257192,0.0,0.0,-0.072465,-0.143958,-0.017034,-0.003472,-0.04023,-0.127158,-0.160458,-0.1679,-0.018923,-0.155004,0.0,-0.143154,-0.013724,0.336495,-0.123073,-0.025465,-0.011974,-0.074816,-0.042006,-0.003196,0.0,-0.20835,-0.103064,0.332262,-0.293124,0.0,0.0,-0.071325,-0.014254,-0.302324,-0.110672,-0.143937,-0.010137,-0.066887,0.0
train,ikan14,09,mata,0.0,0.0,-0.159613,-0.03751,3.047889,-0.075885,-0.00053,-0.159718,-0.08278,0.0,-0.1885,-0.025123,-0.144435,-0.253812,0.0,0.0,-0.072465,-0.141204,-0.013918,-0.00243,-0.035474,-0.12744,-0.14989,-0.15864,-0.020765,-0.152063,0.0,-0.15479,-0.009257,0.343532,-0.117192,-0.0278,-0.009423,-0.080357,-0.041298,-0.003082,0.0,-0.207665,-0.097738,0.2852,-0.284813,0.0,0.0,-0.072851,-0.017471,-0.297303,-0.110282,-0.143645,-0.012374,-0.047725,0.0
train,ikan14,11,mata,0.0,0.0,-0.16145,-0.031305,3.065129,-0.06719,0.0,-0.156232,-0.082412,0.0,-0.185845,-0.017458,-0.133435,-0.267357,0.0,0.0,-0.070314,-0.144371,-0.009973,0.0,-0.03403,-0.118546,-0.147724,-0.15902,-0.012644,-0.153319,0.0,-0.137305,-0.006353,0.376727,-0.115618,-0.013774,-0.009338,-0.084133,-0.039791,-0.004416,0.0,-0.213883,-0.104163,0.274888,-0.291717,0.0,0.0,-0.056187,-0.011594,-0.307769,-0.1157,-0.145632,-0.00306,-0.087077,0.0
train,ikan14,11,mata,0.0,0.0,-0.164454,-0.031677,3.081649,-0.06969,0.0,-0.157618,-0.08,0.0,-0.187491,-0.019003,-0.135621,-0.267295,0.0,0.0,-0.07001,-0.144887,-0.010344,0.0,-0.035102,-0.12361,-0.148175,-0.154788,-0.011145,-0.151551,0.0,-0.138433,-0.006845,0.364554,-0.116031,-0.013024,-0.008933,-0.082809,-0.039883,-0.005692,0.0,-0.210844,-0.109135,0.276724,-0.292566,0.0,0.0,-0.059089,-0.010597,-0.308858,-0.111685,-0.147129,-0.002569,-0.085025,0.0
train,ikan14,11,mata,0.0,0.0,-0.161478,-0.032479,3.06426,-0.071343,0.0,-0.156264,-0.07669,0.0,-0.18733,-0.019227,-0.132914,-0.264428,0.0,0.0,-0.070375,-0.1443,-0.010548,0.0,-0.036574,-0.126325,-0.147346,-0.154791,-0.011229,-0.152006,0.0,-0.140636,-0.006626,0.366639,-0.115386,-0.013567,-0.009525,-0.077902,-0.039834,-0.004943,0.0,-0.211622,-0.106543,0.270538,-0.290265,0.0,0.0,-0.056338,-0.011113,-0.305383,-0.110053,-0.146134,-0.009528,-0.076548,0.0
train,ikan14,11,mata,0.0,0.0,-0.164002,-0.031835,3.083391,-0.069875,0.0,-0.157763,-0.080634,0.0,-0.187743,-0.019141,-0.135632,-0.267289,0.0,0.0,-0.069779,-0.144909,-0.010637,0.0,-0.035268,-0.123622,-0.148269,-0.154243,-0.01132,-0.151648,0.0,-0.139161,-0.007002,0.363517,-0.116379,-0.013234,-0.009107,-0.082737,-0.039972,-0.005814,0.0,-0.211176,-0.108891,0.276928,-0.292662,0.0,0.0,-0.059245,-0.010815,-0.308667,-0.111497,-0.147435,-0.002445,-0.083643,0.0
train,ikan14,11,mata,0.0,0.0,-0.161653,-0.036717,3.048581,-0.075912,0.0,-0.157784,-0.090547,0.0,-0.183286,-0.02062,-0.134524,-0.259548,0.0,0.0,-0.072104,-0.14092,-0.01209,-0.003615,-0.039008,-0.123229,-0.152429,-0.163264,-0.018332,-0.154287,0.0,-0.141304,-0.010639,0.355789,-0.121912,-0.025017,-0.012717,-0.079894,-0.04208,-0.003539,0.0,-0.20774,-0.104,0.306898,-0.282219,0.0,0.0,-0.070716,-0.012658,-0.300221,-0.10827,-0.14317,-0.007748,-0.066711,0.0
train,ikan14,11,mata,0.0,0.0,-0.158049,-0.036681,3.079471,-0.075915,-0.000315,-0.158731,-0.087452,0.0,-0.185585,-0.024391,-0.144603,-0.259828,0.0,0.0,-0.070214,-0.143524,-0.013493,-0.001776,-0.035343,-0.128011,-0.147763,-0.163037,-0.020546,-0.152756,0.0,-0.150829,-0.007885,0.337521,-0.117366,-0.025594,-0.007841,-0.082358,-0.03879,-0.003302,0.0,-0.209888,-0.097838,0.301481,-0.296003,0.0,0.0,-0.069334,-0.014598,-0.304887,-0.118144,-0.142742,-0.008624,-0.065727,0.0
train,ikan14,13,mata,0.0,0.0,-0.16145,-0.031305,3.065129,-0.06719,0.0,-0.156232,-0.082412,0.0,-0.185845,-0.017458,-0.133435,-0.267357,0.0,0.0,-0.070314,-0.144371,-0.009973,0.0,-0.03403,-0.118546,-0.147724,-0.15902,-0.012644,-0.153319,0.0,-0.137305,-0.006353,0.376727,-0.115618,-0.013774,-0.009338,-0.084133,-0.039791,-0.004416,0.0,-0.213883,-0.104163,0.274888,-0.291717,0.0,0.0,-0.056187,-0.011594,-0.307769,-0.1157,-0.145632,-0.00306,-0.087077,0.0
train,ikan14,13,mata,0.0,0.0,-0.164454,-0.031677,3.081649,-0.06969,0.0,-0.157618,-0.08,0.0,-0.187491,-0.019003,-0.135621,-0.267295,0.0,0.0,-0.07001,-0.144887,-0.010344,0.0,-0.035102,-0.12361,-0.148175,-0.154788,-0.011145,-0.151551,0.0,-0.138433,-0.006845,0.364554,-0.116031,-0.013024,-0.008933,-0.082809,-0.039883,-0.005692,0.0,-0.210844,-0.109135,0.276724,-0.292566,0.0,0.0,-0.059089,-0.010597,-0.308858,-0.111685,-0.147129,-0.002569,-0.085025,0.0
train,ikan14,13,mata,0.0,0.0,-0.161478,-0.032479,3.06426,-0.071343,0.0,-0.156264,-0.07669,0.0,-0.18733,-0.019227,-0.132914,-0.264428,0.0,0.0,-0.070375,-0.1443,-0.010548,0.0,-0.036574,-0.126325,-0.147346,-0.154791,-0.011229,-0.152006,0.0,-0.140636,-0.006626,0.366639,-0.115386,-0.013567,-0.009525,-0.077902,-0.039834,-0.004943,0.0,-0.211622,-0.106543,0.270538,-0.290265,0.0,0.0,-0.056338,-0.011113,-0.305383,-0.110053,-0.146134,-0.009528,-0.076548,0.0
train,ikan14,13,mata,0.0,0.0,-0.164002,-0.031835,3.083391,-0.069875,0.0,-0.157763,-0.080634,0.0,-0.187743,-0.019141,-0.135632,-0.267289,0.0,0.0,-0.069779,-0.144909,-0.010637,0.0,-0.035268,-0.123622,-0.148269,-0.154243,-0.01132,-0.151648,0.0,-0.139161,-0.007002,0.363517,-0.116379,-0.013234,-0.009107,-0.082737,-0.039972,-0.005814,0.0,-0.211176,-0.108891,0.276928,-0.292662,0.0,0.0,-0.059245,-0.010815,-0.308667,-0.111497,-0.147435,-0.002445,-0.083643,0.0
train,ikan14,13,mata,0.0,0.0,-0.161653,-0.036717,3.048581,-0.075912,0.0,-0.157784,-0.090547,0.0,-0.183286,-0.02062,-0.134524,-0.259548,0.0,0.0,-0.072104,-0.14092,-0.01209,-0.003615,-0.039008,-0.123229,-0.152429,-0.163264,-0.018332,-0.154287,0.0,-0.141304,-0.010639,0.355789,-0.121912,-0.025017,-0.012717,-0.079894,-0.04208,-0.003539,0.0,-0.20774,-0.104,0.306898,-0.282219,0.0,0.0,-0.070716,-0.012658,-0.300221,-0.10827,-0.14317,-0.007748,-0.066711,0.0
train,ikan14,13,mata,0.0,0.0,-0.158049,-0.036681,3.079471,-0.075915,-0.000315,-0.158731,-0.087452,0.0,-0.185585,-0.024391,-0.144603,-0.259828,0.0,0.0,-0.070214,-0.143524,-0.013493,-0.001776,-0.035343,-0.128011,-0.147763,-0.163037,-0.020546,-0.152756,0.0,-0.150829,-0.007885,0.337521,-0.117366,-0.025594,-0.007841,-0.082358,-0.03879,-0.003302,0.0,-0.209888,-0.097838,0.301481,-0.296003,0.0,0.0,-0.069334,-0.014598,-0.304887,-0.118144,-0.142742,-0.008624,-0.065727,0.0
train,ikan14,15,mata,0.0,0.0,-0.16373,-0.030186,3.077242,-0.067724,0.0,-0.155644,-0.07781,0.0,-0.184626,-0.017184,-0.132737,-0.264717,0.0,0.0,-0.071056,-0.144161,-0.009528,0.0,-0.03385,-0.118559,-0.148593,-0.156365,-0.011905,-0.152706,0.0,-0.135575,-0.00571,0.375369,-0.116104,-0.013899,-0.009267,-0.083003,-0.03949,-0.004529,0.0,-0.213005,-0.104713,0.274278,-0.289296,0.0,0.0,-0.057269,-0.010478,-0.307054,-0.114488,-0.145736,-0.002093,-0.084866,0.0
train,ikan14,15,mata,0.0,0.0,-0.168138,-0.030301,3.089844,-0.070106,0.0,-0.157801,-0.075293,0.0,-0.18813,-0.019458,-0.136233,-0.263569,0.0,0.0,-0.071225,-0.145015,-0.009871,0.0,-0.035334,-0.124723,-0.148987,-0.149608,-0.0098,-0.150313,0.0,-0.137341,-0.006706,0.367236,-0.116787,-0.012632,-0.008593,-0.081109,-0.039535,-0.006355,0.0,-0.208828,-0.109962,0.269035,-0.288755,0.0,0.0,-0.060858,-0.009062,-0.307709,-0.111712,-0.147559,-0.002322,-0.08205,0.0
train,ikan14,15,mata,0.0,0.0,-0.164826,-0.031538,3.084296,-0.071828,0.0,-0.156705,-0.071907,0.0,-0.188255,-0.019819,-0.135255,-0.269497,0.0,0.0,-0.071171,-0.144326,-0.010297,0.0,-0.036697,-0.12904,-0.148822,-0.152422,-0.009985,-0.150963,0.0,-0.14155,-0.007256,0.356538,-0.114304,-0.012895,-0.008513,-0.074858,-0.039779,-0.006571,0.0,-0.209657,-0.105873,0.270655,-0.293599,0.0,0.0,-0.058077,-0.009967,-0.307808,-0.110221,-0.146378,-0.009048,-0.085097,0.0
train,ikan14,15,mata,0.0,0.0,-0.167766,-0.030411,3.086794,-0.070295,0.0,-0.157946,-0.075819,0.0,-0.188077,-0.019614,-0.136412,-0.262459,0.0,0.0,-0.071183,-0.144993,-0.010034,0.0,-0.035688,-0.124968,-0.149066,-0.148683,-0.009911,-0.15033,0.0,-0.138607,-0.00689,0.365863,-0.117334,-0.012846,-0.008896,-0.081049,-0.039705,-0.006528,0.0,-0.208738,-0.109825,0.267517,-0.287014,0.0,0.0,-0.061283,-0.009131,-0.30679,-0.111026,-0.147932,-0.002331,-0.079283,0.0
train,ikan14,15,mata,0.0,0.0,-0.170532,-0.036794,3.076472,-0.078397,0.0,-0.160426,-0.091523,0.0,-0.18492,-0.022975,-0.136958,-0.261046,0.0,0.0,-0.072403,-0.141056,-0.012715,-0.003724,-0.039406,-0.130888,-0.158602,-0.163314,-0.018839,-0.152885,0.0,-0.142867,-0.011677,0.34687,-0.123164,-0.025791,-0.010829,-0.080678,-0.043297,-0.004292,0.0,-0.204394,-0.104999,0.31551,-0.285819,0.0,0.0,-0.073118,-0.012393,-0.303324,-0.109648,-0.1452,-0.007623,-0.071005,0.0
train,ikan14,15,mata,0.0,0.0,-0.162265,-0.036934,3.052477,-0.076052,-0.000433,-0.158574,-0.082034,0.0,-0.184011,-0.026541,-0.145293,-0.26243,0.0,0.0,-0.07144,-0.14344,-0.014037,-0.00186,-0.036975,-0.130339,-0.14936,-0.159418,-0.019886,-0.150976,0.0,-0.151635,-0.008783,0.334596,-0.118616,-0.024808,-0.008973,-0.081459,-0.040063,-0.00465,0.0,-0.208934,-0.101433,0.293318,-0.295076,0.0,0.0,-0.07132,-0.015602,-0.307175,-0.115196,-0.144916,-0.007667,-0.070416,0.0
train,ikan14,07,-,0.0,0.0,-0.155525,-0.030873,3.032186,-0.068308,0.0,-0.152557,-0.085604,0.0,-0.185465,-0.017619,-0.133043,-0.263108,0.0,0.0,-0.069991,-0.141141,-0.009408,0.0,-0.034769,-0.118962,-0.14848,-0.152928,-0.014269,-0.153312,0.0,-0.142847,-0.00685,0.378588,-0.119413,-0.015793,-0.01144,-0.079631,-0.044398,-0.004793,0.0,-0.207718,-0.100314,0.256698,-0.285951,0.0,0.0,-0.057145,-0.012339,-0.301659,-0.114287,-0.145384,-0.008402,-0.080254,0.0
train,ikan14,07,-,0.0,0.0,-0.158066,-0.031353,3.060783,-0.071583,0.0,-0.154617,-0.082365,0.0,-0.189444,-0.019748,-0.136793,-0.262849,0.0,0.0,-0.070348,-0.142387,-0.010125,0.0,-0.037285,-0.130112,-0.1481,-0.145429,-0.013324,-0.15143,0.0,-0.147997,-0.00891,0.370316,-0.119373,-0.0148,-0.009765,-0.076331,-0.046312,-0.007321,0.0,-0.203739,-0.106982,0.252683,-0.284011,0.0,0.0,-0.060938,-0.011197,-0.30173,-0.109131,-0.146922,-0.008888,-0.072047,0.0
train,ikan14,07,-,0.0,0.0,-0.156263,-0.032797,3.069879,-0.074308,0.0,-0.156311,-0.085631,0.0,-0.191274,-0.020644,-0.136354,-0.260975,0.0,0.0,-0.070469,-0.143151,-0.010014,0.0,-0.037574,-0.128795,-0.147052,-0.147513,-0.014328,-0.150674,0.0,-0.144982,-0.008846,0.370567,-0.118891,-0.015342,-0.011718,-0.076119,-0.045272,-0.007527,0.0,-0.209672,-0.106625,0.26326,-0.285365,0.0,0.0,-0.061608,-0.011234,-0.301053,-0.108067,-0.146966,-0.008992,-0.069519,0.0
train,ikan14,07,-,0.0,0.0,-0.157329,-0.031583,3.062505,-0.071834,0.0,-0.154889,-0.082898,0.0,-0.189592,-0.020006,-0.137079,-0.262851,0.0,0.0,-0.070276,-0.142472,-0.010277,0.0,-0.037678,-0.130983,-0.148005,-0.144405,-0.01352,-0.151392,0.0,-0.149247,-0.009212,0.369181,-0.119683,-0.015217,-0.010037,-0.076091,-0.046797,-0.007687,0.0,-0.204057,-0.106868,0.252291,-0.283993,0.0,0.0,-0.061324,-0.01133,-0.301475,-0.108776,-0.147175,-0.009007,-0.070403,0.0
train,ikan14,07,-,0.0,0.0,-0.156282,-0.040205,3.036837,-0.079272,-0.000659,-0.158811,-0.09705,0.0,-0.186884,-0.02612,-0.136503,-0.258346,0.0,0.0,-0.07156,-0.139872,-0.012759,-0.002529,-0.039713,-0.129067,-0.148965,-0.158765,-0.023058,-0.152043,0.0,-0.148244,-0.012254,0.351457,-0.121439,-0.028515,-0.012753,-0.080242,-0.046396,-0.005654,0.0,-0.207046,-0.101713,0.297318,-0.282394,0.0,0.0,-0.072653,-0.015549,-0.295544,-0.106767,-0.143856,-0.012067,-0.056499,0.0
train,ikan14,07,-,0.0,0.0,-0.160812,-0.038565,3.041527,-0.074965,0.0,-0.15502,-0.089209,0.0,-0.184988,-0.023087,-0.138266,-0.257288,0.0,0.0,-0.069789,-0.143352,-0.012556,0.0,-0.037105,-0.130266,-0.147074,-0.160481,-0.017811,-0.149038,0.0,-0.153058,-0.009497,0.350159,-0.122019,-0.022936,-0.007455,-0.083189,-0.040271,-0.004047,0.0,-0.209939,-0.100313,0.287701,-0.283024,0.0,0.0,-0.070846,-0.016143,-0.299381,-0.10455,-0.144638,-0.010807,-0.058762,0.0
train,ikan14,09,-,0.0,0.0,-0.155525,-0.030873,3.032186,-0.068308,0.0,-0.152557,-0.085604,0.0,-0.185465,-0.017619,-0.133043,-0.263108,0.0,0.0,-0.069991,-0.141141,-0.009408,0.0,-0.034769,-0.118962,-0.14848,-0.152928,-0.014269,-0.153312,0.0,-0.142847,-0.00685,0.378588,-0.119413,-0.015793,-0.01144,-0.079631,-0.044398,-0.004793,0.0,-0.207718,-0.100314,0.256698,-0.285951,0.0,0.0,-0.057145,-0.012339,-0.301659,-0.114287,-0.145384,-0.008402,-0.080254,0.0
train,ikan14,09,-,0.0,0.0,-0.158066,-0.031353,3.060783,-0.071583,0.0,-0.154617,-0.082365,0.0,-0.189444,-0.019748,-0.136793,-0.262849,0.0,0.0,-0.070348,-0.142387,-0.010125,0.0,-0.037285,-0.130112,-0.1481,-0.145429,-0.013324,-0.15143,0.0,-0.147997,-0.00891,0.370316,-0.119373,-0.0148,-0.009765,-0.076331,-0.046312,-0.007321,0.0,-0.203739,-0.106982,0.252683,-0.284011,0.0,0.0,-0.060938,-0.011197,-0.30173,-0.109131,-0.146922,-0.008888,-0.072047,0.0
train,ikan14,09,-,0.0,0.0,-0.156263,-0.032797,3.069879,-0.074308,0.0,-0.156311,-0.085631,0.0,-0.191274,-0.020644,-0.136354,-0.260975,0.0,0.0,-0.070469,-0.143151,-0.010014,0.0,-0.037574,-0.128795,-0.147052,-0.147513,-0.014328,-0.150674,0.0,-0.144982,-0.008846,0.370567,-0.118891,-0.015342,-0.011718,-0.076119,-0.045272,-0.007527,0.0,-0.209672,-0.106625,0.26326,-0.285365,0.0,0.0,-0.061608,-0.011234,-0.301053,-0.108067,-0.146966,-0.008992,-0.069519,0.0
train,ikan14,09,-,0.0,0.0,-0.157329,-0.031583,3.062505,-0.071834,0.0,-0.154889,-0.082898,0.0,-0.189592,-0.020006,-0.137079,-0.262851,0.0,0.0,-0.070276,-0.142472,-0.010277,0.0,-0.037678,-0.130983,-0.148005,-0.144405,-0.01352,-0.151392,0.0,-0.149247,-0.009212,0.369181,-0.119683,-0.015217,-0.010037,-0.076091,-0.046797,-0.007687,0.0,-0.204057,-0.106868,0.252291,-0.283993,0.0,0.0,-0.061324,-0.01133,-0.301475,-0.108776,-0.147175,-0.009007,-0.070403,0.0
train,ikan14,09,-,0.0,0.0,-0.156282,-0.040205,3.036837,-0.079272,-0.000659,-0.158811,-0.09705,0.0,-0.186884,-0.02612,-0.136503,-0.258346,0.0,0.0,-0.07156,-0.139872,-0.012759,-0.002529,-0.039713,-0.129067,-0.148965,-0.158765,-0.023058,-0.152043,0.0,-0.148244,-0.012254,0.351457,-0.121439,-0.028515,-0.012753,-0.080242,-0.046396,-0.005654,0.0,-0.207046,-0.101713,0.297318,-0.282394,0.0,0.0,-0.072653,-0.015549,-0.295544,-0.106767,-0.143856,-0.012067,-0.056499,0.0
train,ikan14,09,-,0.0,0.0,-0.160812,-0.038565,3.041527,-0.074965,0.0,-0.15502,-0.089209,0.0,-0.184988,-0.023087,-0.138266,-0.257288,0.0,0.0,-0.069789,-0.143352,-0.012556,0.0,-0.037105,-0.130266,-0.147074,-0.160481,-0.017811,-0.149038,0.0,-0.153058,-0.009497,0.350159,-0.122019,-0.022936,-0.007455,-0.083189,-0.040271,-0.004047,0.0,-0.209939,-0.100313,0.287701,-0.283024,0.0,0.0,-0.070846,-0.016143,-0.299381,-0.10455,-0.144638,-0.010807,-0.058762,0.0
train,ikan14,11,-,0.0,0.0,-0.154295,-0.032602,3.02546,-0.069575,0.0,-0.15343,-0.086736,0.0,-0.186828,-0.018792,-0.133871,-0.267791,0.0,0.0,-0.069946,-0.143262,-0.008876,0.0,-0.035776,-0.120043,-0.149089,-0.159195,-0.014175,-0.153321,0.0,-0.14092,-0.006693,0.37864,-0.118773,-0.017179,-0.012369,-0.079559,-0.04313,-0.004645,0.0,-0.214039,-0.102335,0.2642,-0.287705,0.0,0.0,-0.055128,-0.013145,-0.305243,-0.116367,-0.146009,-0.009598,-0.08367,0.0
train,ikan14,11,-,0.0,0.0,-0.15391,-0.03352,3.038776,-0.071964,-0.000216,-0.154455,-0.085059,0.0,-0.190366,-0.019697,-0.135081,-0.264245,0.0,0.0,-0.069119,-0.144167,-0.009255,0.0,-0.037111,-0.128257,-0.149759,-0.152917,-0.013706,-0.151759,0.0,-0.144458,-0.007579,0.370216,-0.118948,-0.016347,-0.011933,-0.076663,-0.044371,-0.005897,0.0,-0.211599,-0.107154,0.260837,-0.287175,0.0,0.0,-0.056516,-0.012785,-0.302058,-0.112257,-0.147059,-0.010655,-0.077472,0.0
train,ikan14,11,-,0.0,0.0,-0.155219,-0.033075,3.039619,-0.073058,0.0,-0.154822,-0.083785,0.0,-0.192724,-0.020279,-0.135184,-0.262401,0.0,0.0,-0.069325,-0.144022,-0.009735,0.0,-0.037353,-0.129086,-0.147745,-0.14646,-0.013879,-0.151895,0.0,-0.144204,-0.007223,0.373404,-0.119229,-0.015236,-0.009827,-0.075807,-0.044461,-0.006262,0.0,-0.210439,-0.105675,0.260844,-0.286564,0.0,0.0,-0.058317,-0.012879,-0.301062,-0.113827,-0.147588,-0.009463,-0.071754,0.0
train,ikan14,11,-,0.0,0.0,-0.153075,-0.033678,3.039387,-0.072175,-0.000236,-0.154624,-0.085762,0.0,-0.190484,-0.019798,-0.135059,-0.264344,0.0,0.0,-0.068955,-0.144204,-0.009575,0.0,-0.037227,-0.128614,-0.149678,-0.151892,-0.013972,-0.151883,0.0,-0.145489,-0.007782,0.369104,-0.119282,-0.016723,-0.01219,-0.076579,-0.044629,-0.005957,0.0,-0.211721,-0.106748,0.260199,-0.287276,0.0,0.0,-0.056624,-0.013014,-0.301759,-0.112129,-0.147375,-0.010671,-0.076031,0.0
train,ikan14,11,-,0.0,0.0,-0.151146,-0.039661,3.05514,-0.078885,0.0,-0.157106,-0.095804,0.0,-0.184671,-0.022744,-0.133261,-0.260706,0.0,0.0,-0.071809,-0.139541,-0.01328,-0.001912,-0.037853,-0.124753,-0.147892,-0.158407,-0.02131,-0.153361,0.0,-0.143097,-0.00888,0.360782,-0.118915,-0.028032,-0.012584,-0.07784,-0.043746,-0.00377,0.0,-0.210844,-0.10047,0.298237,-0.283641,0.0,0.0,-0.065949,-0.016759,-0.297296,-0.108527,-0.141975,-0.011032,-0.058355,0.0
train,ikan14,11,-,0.0,0.0,-0.158217,-0.037954,3.060127,-0.073492,0.0,-0.155634,-0.085228,0.0,-0.185232,-0.02053,-0.132959,-0.265389,0.0,0.0,-0.069192,-0.14549,-0.011816,0.0,-0.034009,-0.127701,-0.145958,-0.162515,-0.017497,-0.151543,0.0,-0.151491,-0.007882,0.356017,-0.121945,-0.02327,-0.008308,-0.084948,-0.039217,-0.003247,0.0,-0.217107,-0.095209,0.289984,-0.287317,0.0,0.0,-0.068526,-0.01598,-0.303574,-0.105621,-0.144311,-0.010186,-0.063039,0.0
train,ikan14,13,-,0.0,0.0,-0.154295,-0.032602,3.02546,-0.069575,0.0,-0.15343,-0.086736,0.0,-0.186828,-0.018792,-0.133871,-0.267791,0.0,0.0,-0.069946,-0.143262,-0.008876,0.0,-0.035776,-0.120043,-0.149089,-0.159195,-0.014175,-0.153321,0.0,-0.14092,-0.006693,0.37864,-0.118773,-0.017179,-0.012369,-0.079559,-0.04313,-0.004645,0.0,-0.214039,-0.102335,0.2642,-0.287705,0.0,0.0,-0.055128,-0.013145,-0.305243,-0.116367,-0.146009,-0.009598,-0.08367,0.0
train,ikan14,13,-,0.0,0.0,-0.15391,-0.03352,3.038776,-0.071964,-0.000216,-0.154455,-0.085059,0.0,-0.190366,-0.019697,-0.135081,-0.264245,0.0,0.0,-0.069119,-0.144167,-0.009255,0.0,-0.037111,-0.128257,-0.149759,-0.152917,-0.013706,-0.151759,0.0,-0.144458,-0.007579,0.370216,-0.118948,-0.016347,-0.011933,-0.076663,-0.044371,-0.005897,0.0,-0.211599,-0.107154,0.260837,-0.287175,0.0,0.0,-0.056516,-0.012785,-0.302058,-0.112257,-0.147059,-0.010655,-0.077472,0.0
train,ikan14,13,-,0.0,0.0,-0.155219,-0.033075,3.039619,-0.073058,0.0,-0.154822,-0.083785,0.0,-0.192724,-0.020279,-0.135184,-0.262401,0.0,0.0,-0.069325,-0.144022,-0.009735,0.0,-0.037353,-0.129086,-0.147745,-0.14646,-0.013879,-0.151895,0.0,-0.144204,-0.007223,0.373404,-0.119229,-0.015236,-0.009827,-0.075807,-0.044461,-0.006262,0.0,-0.210439,-0.105675,0.260844,-0.286564,0.0,0.0,-0.058317,-0.012879,-0.301062,-0.113827,-0.147588,-0.009463,-0.071754,0.0
train,ikan14,13,-,0.0,0.0,-0.153075,-0.033678,3.039387,-0.072175,-0.000236,-0.154624,-0.085762,0.0,-0.190484,-0.019798,-0.135059,-0.264344,0.0,0.0,-0.068955,-0.144204,-0.009575,0.0,-0.037227,-0.128614,-0.149678,-0.151892,-0.013972,-0.151883,0.0,-0.145489,-0.007782,0.369104,-0.119282,-0.016723,-0.01219,-0.076579,-0.044629,-0.005957,0.0,-0.211721,-0.106748,0.260199,-0.287276,0.0,0.0,-0.056624,-0.013014,-0.301759,-0.112129,-0.147375,-0.010671,-0.076031,0.0
train,ikan14,13,-,0.0,0.0,-0.151146,-0.039661,3.05514,-0.078885,0.0,-0.157106,-0.095804,0.0,-0.184671,-0.022744,-0.133261,-0.260706,0.0,0.0,-0.071809,-0.139541,-0.01328,-0.001912,-0.037853,-0.124753,-0.147892,-0.158407,-0.02131,-0.153361,0.0,-0.143097,-0.00888,0.360782,-0.118915,-0.028032,-0.012584,-0.07784,-0.043746,-0.00377,0.0,-0.210844,-0.10047,0.298237,-0.283641,0.0,0.0,-0.065949,-0.016759,-0.297296,-0.108527,-0.141975,-0.011032,-0.058355,0.0
