Dataset,Ikan,Jam,Bagian,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F576
train,ikan01,21,insang,0.499836,0.292162,0.555735,0.324673,0.030532,-0.073084,0.238955,0.615531,0.004178,0.240291,0.156376,0.447327,1.631133,0.244293,-0.05019,0.000705,1.255074,0.363146,0.226712,4.118947,1.645036,0.406845,0.063761,0.381699,1.474107,0.471324,2.50476,0.922057,0.110983,-0.076175,0.921268,1.067446,0.71608,0.914836,-0.027136,1.631042,0.008804,0.06017,1.519711,0.480316,-0.158449,1.433201,2.16919,0.52158,0.083144,-0.120774,0.756405,0.274473,0.690196,0.009486,0.067116
train,ikan01,21,insang,0.347094,0.406568,0.475118,0.464218,0.004508,-0.032608,0.219782,0.773841,0.183236,0.600802,0.267895,0.422804,1.287989,0.327237,-0.070457,0.118238,1.695592,0.436454,0.224208,3.95079,1.544544,0.407659,0.013592,0.387473,1.501586,0.944197,2.481569,0.547598,0.219872,-0.087643,0.842176,0.934749,0.553274,0.643824,0.038498,1.304416,0.023133,0.033615,1.403193,0.364438,-0.101737,1.432529,1.576889,0.812988,0.082484,-0.110779,0.71211,0.318507,0.808982,-0.02577,-0.031427
train,ikan01,21,insang,0.179803,0.108391,0.340045,0.512464,0.790671,0.036698,0.019158,0.510359,-0.068064,0.339997,0.201298,0.63756,0.600388,-0.088389,-0.048618,-0.009105,1.195412,0.345421,0.013548,2.945572,1.03088,0.891357,-0.007954,0.017637,0.891483,0.203747,1.565986,0.873094,-0.040632,-0.178452,0.409363,1.432269,0.165261,0.761781,0.018894,0.57337,0.01701,0.027462,0.46019,1.556672,-0.102007,1.126899,1.46387,0.915958,0.23586,-0.075998,0.765926,0.739047,0.924319,0.124308,0.023802
train,ikan01,21,insang,0.246312,0.164331,0.060641,0.666487,0.972769,0.25752,0.062513,0.623396,-0.024805,0.221107,0.079501,0.817397,0.837645,-0.036292,-0.040055,0.013959,1.400304,0.134044,0.177389,4.416876,1.942751,0.74279,0.096592,-0.044971,0.942861,0.501152,1.512087,1.487102,0.081116,-0.11226,0.455043,2.132702,0.290212,1.326794,-0.03002,1.339476,0.0,0.226588,0.585104,1.74554,-0.098909,1.133458,1.227914,0.513005,0.231973,0.079019,0.740137,0.652893,1.236649,-0.069145,0.0
train,ikan01,23,insang,0.465485,0.110057,0.737061,0.410648,0.116804,0.009869,0.076369,0.537441,0.258782,0.600524,0.282136,0.596256,1.225561,-0.033624,-0.031907,-0.119778,1.044375,0.17165,0.222959,3.086404,0.868413,0.126755,0.312747,0.3836,1.205646,0.296111,1.694895,0.392434,0.505806,-0.121397,0.570049,0.789882,0.526454,0.43402,-0.026558,1.773963,0.044731,0.04134,1.611337,0.358952,-0.109546,1.30509,1.887634,0.413567,0.073772,-0.068441,0.673124,0.097312,0.579114,-0.141498,-0.024932
train,ikan01,23,insang,0.307333,0.365578,0.406146,0.461499,0.03761,-0.090083,0.136447,0.739477,0.235281,0.445676,0.275878,0.443335,1.122384,0.330466,-0.067062,0.14294,1.757028,0.363802,0.260343,3.927947,1.422503,0.475518,-0.017678,0.271769,1.45751,0.853582,2.416967,0.55198,0.344164,-0.094748,0.906686,0.793744,0.405678,0.634235,-0.013727,1.336533,0.090254,0.064842,1.416003,0.371602,-0.106882,1.533717,1.278006,0.803352,0.112484,-0.108049,0.626742,0.277087,0.593765,-0.048159,-0.042133
train,ikan01,23,insang,0.499836,0.292162,0.555735,0.324673,0.030532,-0.073084,0.238955,0.615531,0.004178,0.240291,0.156376,0.447327,1.631133,0.244293,-0.05019,0.000705,1.255074,0.363146,0.226712,4.118947,1.645036,0.406845,0.063761,0.381699,1.474107,0.471324,2.50476,0.922057,0.110983,-0.076175,0.921268,1.067446,0.71608,0.914836,-0.027136,1.631042,0.008804,0.06017,1.519711,0.480316,-0.158449,1.433201,2.16919,0.52158,0.083144,-0.120774,0.756405,0.274473,0.690196,0.009486,0.067116
train,ikan01,23,insang,0.347094,0.406568,0.475118,0.464218,0.004508,-0.032608,0.219782,0.773841,0.183236,0.600802,0.267895,0.422804,1.287989,0.327237,-0.070457,0.118238,1.695592,0.436454,0.224208,3.95079,1.544544,0.407659,0.013592,0.387473,1.501586,0.944197,2.481569,0.547598,0.219872,-0.087643,0.842176,0.934749,0.553274,0.643824,0.038498,1.304416,0.023133,0.033615,1.403193,0.364438,-0.101737,1.432529,1.576889,0.812988,0.082484,-0.110779,0.71211,0.318507,0.808982,-0.02577,-0.031427
train,ikan01,23,insang,0.179803,0.108391,0.340045,0.512464,0.790671,0.036698,0.019158,0.510359,-0.068064,0.339997,0.201298,0.63756,0.600388,-0.088389,-0.048618,-0.009105,1.195412,0.345421,0.013548,2.945572,1.03088,0.891357,-0.007954,0.017637,0.891483,0.203747,1.565986,0.873094,-0.040632,-0.178452,0.409363,1.432269,0.165261,0.761781,0.018894,0.57337,0.01701,0.027462,0.46019,1.556672,-0.102007,1.126899,1.46387,0.915958,0.23586,-0.075998,0.765926,0.739047,0.924319,0.124308,0.023802
train,ikan01,23,insang,0.246312,0.164331,0.060641,0.666487,0.972769,0.25752,0.062513,0.623396,-0.024805,0.221107,0.079501,0.817397,0.837645,-0.036292,-0.040055,0.013959,1.400304,0.134044,0.177389,4.416876,1.942751,0.74279,0.096592,-0.044971,0.942861,0.501152,1.512087,1.487102,0.081116,-0.11226,0.455043,2.132702,0.290212,1.326794,-0.03002,1.339476,0.0,0.226588,0.585104,1.74554,-0.098909,1.133458,1.227914,0.513005,0.231973,0.079019,0.740137,0.652893,1.236649,-0.069145,0.0
train,ikan01,01,mata,0.057384,-0.061743,0.21115,0.025142,-0.090674,-0.071942,-0.078932,0.257821,-0.019605,0.291818,0.403954,0.133194,3.034079,-0.104351,0.167422,0.075732,0.012755,-0.011814,-0.021769,1.932379,4.200232,-0.018315,0.403902,0.342016,1.506119,0.060808,1.395971,0.568335,0.346405,-0.039618,0.065294,0.210485,-0.08375,0.335971,-0.030572,1.904375,0.0,0.104371,0.259555,0.167241,-0.095608,0.293402,3.04533,0.289353,0.08163,-0.010603,1.650717,-0.073254,0.807521,-0.04625,0.029767
train,ikan01,01,mata,-0.005902,-0.028068,0.302062,0.073805,-0.109581,0.091299,-0.057788,0.40618,-0.035746,0.936278,0.107253,0.276988,3.432087,-0.145899,0.025713,-0.061798,0.206251,0.020693,-0.026403,2.477874,4.771155,0.144871,0.050795,0.351016,2.221451,0.052292,1.231524,1.229352,0.221356,-0.000612,-0.046667,0.481097,-0.059306,0.380836,0.011536,2.049492,0.0,-0.03006,0.058058,0.223597,-0.146601,0.566683,2.596688,0.577871,0.074163,-0.032639,2.033586,-0.105681,0.87944,0.028293,0.084483
train,ikan01,01,mata,-0.008432,-0.026462,0.38754,0.086197,-0.137481,0.220484,-0.053678,0.399893,-0.028062,0.896566,0.118035,0.138554,3.106823,-0.112725,-0.034716,0.037378,0.159304,-0.042399,-0.030347,2.534533,4.438612,0.054415,-0.001545,0.352759,2.496838,-0.015649,1.196138,1.27138,0.225214,0.016408,-0.026403,0.312725,-0.077396,0.544234,0.056119,2.004427,0.0,-0.014264,0.053599,0.20105,-0.153102,0.329037,2.660136,0.545567,0.086097,0.077946,2.116899,-0.101172,1.243718,0.146653,0.031089
train,ikan01,01,mata,-0.009846,-0.024096,0.364322,0.046403,-0.129624,0.068956,-0.05639,0.410921,-0.035468,0.778228,0.130444,0.321544,3.481282,-0.139316,-0.014112,-0.081455,0.205362,0.008329,-0.040528,2.343217,5.233518,0.115067,0.078446,0.372319,2.038623,0.021296,1.23218,1.158235,0.271884,0.021138,-0.036205,0.256574,-0.081483,0.433375,-0.011311,1.986085,0.0,0.032036,0.019247,0.255856,-0.146485,0.407919,2.534854,0.503605,0.069501,-0.048994,1.791213,-0.111208,0.920395,0.06297,0.08363
train,ikan01,01,mata,0.117138,-0.037567,0.629885,0.085093,0.883226,0.410935,-0.032224,0.218125,-0.067821,0.780912,0.251256,0.497773,2.835011,-0.029156,-0.078626,-0.082683,0.017917,0.022015,0.017722,2.913525,3.879707,0.703031,0.066044,0.148253,1.939425,0.050347,0.874944,1.508552,0.034806,-0.143844,-0.08569,0.623026,0.043427,-0.082915,0.169261,1.527664,0.0,-0.034616,0.009576,1.171238,-0.006801,0.531255,2.056994,0.5176,0.424376,-0.027685,1.944444,0.102444,0.826261,0.055477,0.214501
train,ikan01,01,mata,-0.005643,-0.021213,0.962178,0.02914,0.768113,1.211546,-0.020413,0.052027,-0.050347,0.518971,0.319095,0.494224,2.298267,0.071235,-0.064727,-0.07892,0.116338,-0.000136,-0.007933,2.822965,3.175889,0.655731,-0.038264,-0.045322,2.282022,0.028104,0.308452,2.295545,0.063569,-0.162888,0.0164,0.655729,-0.017996,0.464099,-0.017683,1.875129,0.0,0.123572,0.059074,1.226999,-0.055272,0.453306,2.129445,0.633088,0.769285,0.14734,1.814067,-0.068332,0.830224,0.155266,-0.007374
train,ikan01,17,mata,0.370298,-0.051232,0.260207,0.514961,-0.143403,-0.065549,-0.002322,0.38713,-0.047575,0.488178,-0.004504,0.010711,1.30238,-0.009295,0.100705,-0.007893,-0.126414,-0.024967,-0.01661,1.99531,5.141395,0.34458,-0.018096,0.182031,1.380952,0.209143,1.08377,0.923991,0.821532,-0.041255,-0.065515,0.253298,-0.008137,0.602037,-0.015417,1.168704,0.042296,0.455234,0.32826,0.367103,-0.131085,0.170342,2.711151,0.132375,0.209207,0.293567,1.236321,-0.09648,1.115993,0.028576,-0.014652
train,ikan01,17,mata,0.14033,-0.015801,0.446967,0.285916,-0.087613,-0.085344,-0.013063,0.306102,-0.029794,0.502949,-0.087527,0.11453,2.016989,0.160327,0.211319,0.000205,0.037715,-0.068096,-0.009598,2.807861,5.175641,0.565564,-0.141213,0.281405,1.951558,0.056685,1.623291,1.067372,0.479838,-0.09163,0.157298,0.115519,0.035446,0.701763,0.014701,0.903949,0.0,0.530517,0.181161,0.48111,-0.1121,0.641031,2.811109,0.224724,0.092121,0.017245,1.330783,-0.079102,1.208502,-0.094376,0.013822
train,ikan01,17,mata,0.138589,-0.008949,0.577647,0.197405,-0.110711,-0.085291,-0.029807,0.139643,-0.026962,0.497251,-0.064183,0.147067,2.0101,0.003491,0.230387,0.089229,0.131707,-0.031982,-0.009071,2.767262,5.593008,0.691528,-0.105307,0.210155,1.67526,0.286716,1.849215,1.26039,0.493012,-0.030744,0.165819,0.036961,0.039956,1.014322,-0.044908,1.101465,0.0,0.372663,0.143991,0.524926,-0.127819,0.630531,2.624016,0.028522,0.146063,0.17307,1.154174,-0.090149,1.326197,-0.051615,-0.084025
train,ikan01,17,mata,0.201782,-0.0169,0.503648,0.193921,-0.101141,-0.079901,-0.040166,0.219114,-0.031095,0.384274,-0.102349,0.164579,2.037522,0.166094,0.245037,0.001253,-0.021946,-0.060604,-0.008745,2.80178,5.475153,0.540808,-0.158723,0.281355,1.832191,-0.000724,1.477814,1.030303,0.532767,-0.092922,0.183853,0.018514,0.034121,0.717651,0.00599,0.855804,0.0,0.504076,0.148567,0.460425,-0.105961,0.426233,2.812527,0.179469,0.1224,0.105051,1.276679,-0.091312,1.189637,-0.078913,0.033223
train,ikan01,17,mata,0.273674,-0.009341,1.02612,0.365971,0.912735,0.877049,-0.025816,0.232094,-0.059733,0.621636,0.195379,0.225996,2.422081,0.074551,-0.045737,-0.119587,-0.028018,-0.01692,-0.010053,3.053468,4.041833,1.111155,0.061481,-0.015635,2.286386,0.054981,0.657358,1.832586,0.018939,-0.201904,-0.058243,0.142561,0.094045,0.240065,-0.039841,0.877083,0.0,0.21992,0.24317,1.5274,0.011817,0.498827,1.864308,0.844527,0.408525,0.052866,1.644986,0.038056,1.731015,0.013171,0.056515
train,ikan01,17,mata,0.104202,-0.009924,1.279941,0.274407,0.867301,-0.039122,-0.012293,0.06833,-0.065613,0.369588,0.044319,0.257152,2.124985,-0.051068,-0.045043,-0.101445,0.419802,0.106588,0.027097,3.700385,3.304096,1.405408,0.165209,-0.029541,2.203471,0.165431,0.236895,1.865783,-0.0367,-0.143257,0.265873,0.222382,-0.047506,0.636484,-0.04404,1.019148,0.0,0.345908,0.507798,1.561881,-0.057118,0.00448,2.039515,0.489491,1.23588,0.258807,1.578558,0.007832,0.555916,0.040399,0.066565
